번호,도서명,저자,출판사,자료유형,국제표준도서번호,카테고리,데이터기준일
1,운동생리학과 운동처방,백일영,대한미디어,전자책,1471000346 ,예술/대중문화,2023-03-10
2,연구논문 작성법,배종근,동국대학교출판부,전자책,1615000275 ,인문/역사,2023-03-10
3,칸트 대 비트겐 슈타인,수잔프롬,동국대학교출판부,전자책,1615000429 ,인문/역사,2023-03-10
4,21세기 경영법칙 101(후나이식경영법 1),후나이 유키오,서음출판사,전자책,3366000015 ,경제경영,2023-03-10
5,매상고향상 비법(후나이식경영법 6),후나이 유키오,서음출판사,전자책,3366000899 ,경제경영,2023-03-10
6,베이식 경영법(후나이식경영법 7),후나이 유키오,서음출판사,전자책,3366000929 ,경제경영,2023-03-10
7,성공을 위한 인간학(후나이식경영법 4),후나이 유키오,서음출판사,전자책,3366001100 ,경제경영,2023-03-10
8,성공의 노하우(후나이식경영법 2),후나이 유키오,서음출판사,전자책,3366001119 ,경제경영,2023-03-10
9,신유통 혁명(후나이식경영법 8),후나이 유키오,서음출판사,전자책,3366001178 ,경제경영,2023-03-10
10,유통업계의 미래(후나이식경영법 9),후나이 유키오,서음출판사,전자책,3366001577 ,경제경영,2023-03-10
11,인간시대의 경영법(후나이식경영법 3),후나이 유키오,서음출판사,전자책,3366001879 ,경제경영,2023-03-10
12,패션화시대의 경영법(후나이식경영법 5),후나이 유키오,서음출판사,전자책,3366002239 ,경제경영,2023-03-10
13,암 스스로 고쳐라,마세 겐이찌,서음출판사,전자책,3366002603 ,건강/의학,2023-03-10
14,상한론병증감별치료,안규섭 외,성보사,전자책,3502000220 ,건강/의학,2023-03-10
15,상한론총강,배병철,성보사,전자책,3502000603 ,건강/의학,2023-03-10
16,실용중풍치료학,배병철 외,성보사,전자책,3502000646 ,건강/의학,2023-03-10
17,체질의학원론,서민욱,성보사,전자책,3502000697 ,건강/의학,2023-03-10
18,의림개착평역,곽동열 외,성보사,전자책,3502000700 ,건강/의학,2023-03-10
19,BEHIND THE SCENES OF ROYAL PALACES IN KOREA(YIDYNASTY),HA TAE-HUNG,연세대학교출판부,전자책,4576000160 ,인문/역사,2023-03-10
20,광개토대왕(두산동아 테마위인),이상교,두산동아,전자책,8900113666 ,아동,2023-03-10
21,세종대왕(두산동아 테마위인),차보금,두산동아,전자책,8900113674 ,아동,2023-03-10
22,이윤기의 그리스 로마 신화. 1,이윤기,웅진닷컴,전자책,8901029359 ,인문/역사,2023-03-10
23,이윤기의 그리스 로마 신화. 2,이윤기,웅진닷컴,전자책,8901035871 ,인문/역사,2023-03-10
24,이윤기의 그리스 로마 신화. 3,이윤기,웅진닷컴,전자책,8901047144 ,인문/역사,2023-03-10
25,그 많던 싱아는 누가 다 먹었을까,박완서,웅진씽크빅,전자책,8901051591 ,소설,2023-03-10
26,만해 한용운(사르비아총서 102),임중빈,범우사,전자책,8908032053 ,종교,2023-03-10
27,도산 안창호(사르비아총서 103),이광수,범우사,전자책,8908032061 ,인문/역사,2023-03-10
28,압록강은 흐른다(사르비아총서 301),이미륵,범우사,전자책,8908032126 ,소설,2023-03-10
29,마하트마 간디(사르비아총서 106),로맹 롤랑,범우사,전자책,8908032169 ,시/에세이,2023-03-10
30,늪텃집 처녀 외 (사루비아총서 641),라겔뢰프,범우사,전자책,890803322X,소설,2023-03-10
31,화훼장식기능사 필기(5차개선) (369 기술자격 시리즈),권오향,교학사,전자책,8909146842 ,과학/공학,2023-03-10
32,한식조리사 실기(최신개정판),최숙희,교학사,전자책,8909151773 ,가정/생활/요리,2023-03-10
33,정보화 기초(HANGUL 2007),이형범,교학사,전자책,8909155167 ,IT/프로그래밍,2023-03-10
34,정보화 실무(EXCEL 2007),이형범,교학사,전자책,8909155183 ,IT/프로그래밍,2023-03-10
35,정보화 실무(POWERPOINT 2007),이형범,교학사,전자책,8909155205 ,IT/프로그래밍,2023-03-10
36,일러스트레이터 CS3+포토샵 CS3(개정판),이해구,교학사,전자책,8909156856 ,IT/프로그래밍,2023-03-10
37,일러스트레이터 CS4,우석진,교학사,전자책,8909157046 ,IT/프로그래밍,2023-03-10
38,노벨,엄기원,삼성당,전자책,8914016455 ,아동,2023-03-10
39,아라비안 나이트,권영미 엮음,삼성출판사,전자책,8915016424 ,아동,2023-03-10
40,지킬박사와 하이드,로버트 스티븐슨,삼성출판사,전자책,8915032861 ,아동,2023-03-10
41,불멸의 밑반찬,김지현,삼성출판사,전자책,8915067509 ,가정/생활/요리,2023-03-10
42,감동의 도시락,용동희,삼성출판사,전자책,8915067517 ,가정/생활/요리,2023-03-10
43,약이 되는 음식,김봉찬,삼성출판사,전자책,891506755X,가정/생활/요리,2023-03-10
44,최신 칼로리북,편집부,삼성출판사,전자책,8915067568 ,건강/의학,2023-03-10
45,엔조이 와인,이정윤,삼성출판사,전자책,8915067606 ,가정/생활/요리,2023-03-10
46,샐러드 생활,최현정,삼성출판사,전자책,8915067614 ,가정/생활/요리,2023-03-10
47,스무살 요가,진소원,삼성출판사,전자책,8915067630 ,건강/의학,2023-03-10
48,작은집 인테리어,백민정,삼성출판사,전자책,8915067649 ,가정/생활/요리,2023-03-10
49,기적의 발마사지,편집부,삼성출판사,전자책,8915067657 ,건강/의학,2023-03-10
50,하룻밤에 읽는 미국사,손세호,랜덤하우스,전자책,8925541351 ,인문/역사,2023-03-10
51,미녀들의 영어 수다,레이한,두앤비컨텐츠,전자책,8925541467 ,국어/외국어,2023-03-10
52,여드름 비책,최형석,랜덤하우스,전자책,8925543834 ,건강/의학,2023-03-10
53,건강하게 살려면 거울을 봐라,남무길,랜덤하우스코리아,전자책,8925544822 ,건강/의학,2023-03-10
54,카라마조프가의 형제들 (논술 프로그램 세계명작 36),심영미 엮음,예림당,전자책,8930200567 ,아동,2023-03-10
55,사랑의 요정 (논술 프로그램 세계명작 37),김영자 엮음,예림당,전자책,8930200575 ,아동,2023-03-10
56,몽테크리스토 백작 (논술 프로그램 세계명작 39),심경석,예림당,전자책,8930200591 ,아동,2023-03-10
57,홍당무 (논술 프로그램 세계명작 40),홍성지 엮음,예림당,전자책,8930200605 ,아동,2023-03-10
58,말괄량이 길들이기(논술프로그램세계명작 42),셰익스피어,예림당,전자책,8930200621 ,아동,2023-03-10
59,플루타르크 영웅전 (논술프로그램세계명작 50),플루타르크,예림당,전자책,8930200702 ,아동,2023-03-10
60,첫사랑 (문예 세계문학선 46),투르게네프,문예출판사,전자책,8931005377 ,소설,2023-03-10
61,할리우드 영화의 모든 것,서정남,이론과실천,전자책,893136024X,예술/대중문화,2023-03-10
62,아이폰 영화 만들기,유순미,영진닷컴,전자책,8931440901 ,IT/프로그래밍,2023-03-10
63,페이스북 쉽게 배우기,진민정,영진닷컴,전자책,8931442289 ,IT/프로그래밍,2023-03-10
64,사랑의 학교(논술대비세계명작 53),쥘 베른,지경사,전자책,8931902972 ,아동,2023-03-10
65,파브르 곤충기(논술대비세계명작 54),파브르,지경사,전자책,8931902980 ,아동,2023-03-10
66,세계의 무서운 이야기 50선(베스트 오브 베스트 11),이효성,지경사,전자책,8931903790 ,아동,2023-03-10
67,톰 아저씨의 오두막집(논술대비 세계명작 35),해리엣 비처 스토,지경사,전자책,8931907842 ,아동,2023-03-10
68,비밀의 화원(논술대비 세계명작 39),프랜시스 엘리자 버넷,지경사,전자책,8931907885 ,아동,2023-03-10
69,해저 2만리(논술대비 세계명작 40),쥘 베른,지경사,전자책,8931907893 ,아동,2023-03-10
70,사계절 별자리 이야기(21세기시리즈 24),해바라기,지경사,전자책,8931911343 ,아동,2023-03-10
71,사랑의 가족(논술대비세계명작 28),아그네스 자퍼,지경사,전자책,8931911785 ,아동,2023-03-10
72,톰 소여의 모험(논술대비 세계명작 57),마크 트웨인,지경사,전자책,8931915322 ,아동,2023-03-10
73,삼총사(논술대비 세계명작 65),이상교,지경사,전자책,8931915675 ,아동,2023-03-10
74,피터팬 (논술대비 세계명작76),강원희,지경사,전자책,8931916639 ,아동,2023-03-10
75,셜록 홈즈의 모험,아서 코난 도일,지경사,전자책,8931917279 ,아동,2023-03-10
76,바스커빌가의 개(논술대비 세계명작 15),아서 코난 도일,지경사,전자책,8931917902 ,아동,2023-03-10
77,소공녀,프랜시스 엘리자 버넷,지경사,전자책,8931918143 ,아동,2023-03-10
78,적과 흑,스탕달,지경사,전자책,8931918445 ,아동,2023-03-10
79,오만과 편견,제인 오스틴,지경사,전자책,8931918453 ,아동,2023-03-10
80,어머니,막심 고리키,지경사,전자책,8931918836 ,아동,2023-03-10
81,소나기 사하촌(외),황순원,지경사,전자책,8931919166 ,아동,2023-03-10
82,받아쓰기 1-2 바르게 읽고 쓰는 우리말 공부,이창건,지경사,전자책,8931919816 ,아동,2023-03-10
83,받아쓰기 2-2 바르게 읽고 쓰는 우리말 공부,이창건,지경사,전자책,8931919832 ,아동,2023-03-10
84,키다리 아저씨,진 웹스터,지경사,전자책,893191993X,아동,2023-03-10
85,똑똑한 어린이 한자사전,지경사 편집부,지경사,전자책,8931921004 ,아동,2023-03-10
86,초등학생 문화 예술 체육사전,김인성,지경사,전자책,8931921047 ,아동,2023-03-10
87,목욕탕,다와다 요코,을유문화사,전자책,8932471681 ,소설,2023-03-10
88,CompTIA Security+,배동규,기전연구사,전자책,8933608419 ,IT/프로그래밍,2023-03-10
89,엑셀 2010,강동식,기전연구사,전자책,8933608486 ,IT/프로그래밍,2023-03-10
90,나의 꽃밭에 님의 꽃이 피었습니다,고명수,한길사,전자책,8935659940 ,인문/역사,2023-03-10
91,나는 인간으로 살고 싶다,이상경,한길사,전자책,8935659959 ,인문/역사,2023-03-10
92,책의 공화국에서,김언호,한길사,전자책,8935660027 ,인문/역사,2023-03-10
93,중학생이 보는 도련님,나쓰메 소세키,신원문화사,전자책,893591276X,교재/수험서,2023-03-10
94,대한민국 인생등급,스포니 김,신원문화사,전자책,8935914932 ,가정/생활/요리,2023-03-10
95,쉬운말성경 신약. 1(사복음서),성서원 편집팀,성서원,전자책,8936018485 ,종교,2023-03-10
96,쉬운말성경 신약. 2(바울서신),성서원 편집팀,성서원,전자책,8936018493 ,종교,2023-03-10
97,쉬운말성경 신약. 3(공동서신),성서원 편집팀,성서원,전자책,8936018507 ,종교,2023-03-10
98,"쉬운말성경 신약. 4(사도행전,요한계시록)",성서원 편집팀,성서원,전자책,8936018515 ,종교,2023-03-10
99,여자 38 두번째 선택,김은영,파프리카,전자책,8936309617 ,자기계발,2023-03-10
100,와인 스케치 오 작가의 엉뚱하고 발랄한 와인 탐험,오현숙,파프리카,전자책,893630965X,가정/생활/요리,2023-03-10
101,한눈에 반한 우리문화 20,오세기 외,아이세움,전자책,8937811626 ,아동,2023-03-10
102,깡통 소년,크리스티네 뇌스틀링거,아이세움,전자책,8937840111 ,아동,2023-03-10
103,조선왕조실록(초등학생을 위한),조선왕조실록팀,대교출판,전자책,8939507754 ,아동,2023-03-10
104,과학을 꿀꺽 해버린 동화 3.4학년,홍윤희,대교출판,전자책,8939513940 ,아동,2023-03-10
105,1.2학년 눈높이 수학 학습 동화,김용란,대교출판,전자책,8939513967 ,아동,2023-03-10
106,3.4학년 눈높이 수학학습동화,김용란,대교출판,전자책,8939513975 ,아동,2023-03-10
107,5.6학년 눈높이 수학학습동화,김용란,대교출판,전자책,8939513983 ,아동,2023-03-10
108,돌아온 진돗개 백구(눈높이어린이문고38),송재찬,대교출판,전자책,8939514130 ,아동,2023-03-10
109,안내견 탄실이(1),고정욱,대교출판,전자책,8939515714 ,아동,2023-03-10
110,안내견 탄실이(2),고정욱,대교출판,전자책,8939515722 ,아동,2023-03-10
111,안내견 탄실이(3),고정욱,대교출판,전자책,8939515730 ,아동,2023-03-10
112,짜장면(눈높이어린이문고68),박재형,대교출판,전자책,8939516400 ,아동,2023-03-10
113,네 손가락의 피아니스트 1(만화),고정욱,대교출판,전자책,8939516494 ,아동,2023-03-10
114,네 손가락의 피아니스트 2(만화),고정욱,대교출판,전자책,8939516508 ,아동,2023-03-10
115,칠칠단의 비밀 1,방정환,대교출판,전자책,8939517350 ,아동,2023-03-10
116,칠칠단의 비밀 2,방정환,대교출판,전자책,8939517369 ,아동,2023-03-10
117,조리사시험 필기,배태자,일진사,전자책,8942908098 ,가정/생활/요리,2023-03-10
118,80일간의 세계일주,쥘 베른,중앙출판사,전자책,8945121951 ,아동,2023-03-10
119,수레바퀴 아래서,헤르만 헤세,중앙출판사,전자책,8945122044 ,아동,2023-03-10
120,깜장고무신,조대현,문공사,전자책,8945214070 ,아동,2023-03-10
121,누리야 누리야,양귀자,문공사,전자책,894521450X,아동,2023-03-10
122,나는 왜 새가 좋을까,윤무부,문공사,전자책,8945215158 ,아동,2023-03-10
