번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
1,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개발자 기술 면접 노트,이남희 저,한빛미디어,2024-03-25,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
2,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,게임 체인저,닐 셔스터먼 저/이민희 역,열린책들,2024-02-05,9.79E+12,2,YES24,소설,외국소설,2025-08-22
3,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,결국 해내면 그만이다,정영욱 저,놀,2024-04-12,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
4,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,결정하는 습관,리처드 모란 저/이지민 역,북스톤,2024-03-18,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
5,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,구름에 달 가리운 방금 전까지 인간이었다,미야베 미유키 저/이규원 역,북스피어,2024-01-31,9.79E+12,2,YES24,소설,외국소설,2025-08-22
6,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,그렇게 아버지가 된다,"고레에다 히로카즈,사노 아키라 저/이영미 역",알에이치코리아(RHK),2024-04-23,9.79E+12,2,YES24,소설,외국소설,2025-08-22
7,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,긴 인생을 위한 짧은 영어 책 : 이것은 지금도 영어가 두려운 당신을 위한 이야기,박혜윤 저,동양북스(동양books),2024-04-05,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
8,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,꿈의 인문학 : 인간의식의 진화에서 꿈의 역할은 무엇인가,싯다르타 히베이루 저/조은아 역,흐름출판,2024-04-12,9.79E+12,2,YES24,과학/공학,교양과학,2025-08-22
9,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나는 행복한 푸바오 할부지입니다,강철원 저,시공사,2024-03-10,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
10,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,남겨진 것들의 기록 : 유품정리사가 써 내려간 떠난 이들의 뒷모습,"김새별,전애원 저",청림출판,2024-02-13,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
11,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,내 아이를 위한 사교육은 없다 : 사교육을 이기고 상위 1%로 도약하는 힘,김현주 저,청림Life,2024-04-03,9.79E+12,1,YES24,가정/생활/요리,자녀교육,2025-08-22
12,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"뇌, 마케팅의 비밀을 열다",한스-게오르크 호이젤 저/구소영 역,다산북스,2024-03-29,9.79E+12,2,YES24,경제/경영,마케팅/세일즈,2025-08-22
13,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,다 하지 못한 말,임경선 저,토스트,2024-03-27,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
14,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,도쿄대 암기법 : 암기의 신이 알려주는 기억력 200% 활용법,미야구치 기미토시 저/김윤경 역,빅피시,2024-04-24,9.79E+12,1,YES24,자기계발,자기능력계발,2025-08-22
15,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,때로는 간절함조차 아플 때가 있었다 : 나를 단단하게 만들어준 순간들에 관하여,강지영 저  저,빅피시,2024-03-07,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
