번호,구분,상품번호,대분류,서명,저자,출판사,보유 권수,데이터기준일
1,전자책,128214104,어린이/청소년,10대를 위한 논어 수업 : AI 시대 청소년에게 전하는 2500년의 가르침,김정진 저,넥스트씨,1,2025-07-01
2,전자책,126114511,인문／사회,2014년 생,송김경화 저,아를,1,2025-07-01
3,전자책,140453702,문학,간소한 삶에 관한 작은 책,진민영 저,책읽는고양이,2,2025-07-01
4,전자책,139769130,자기관리,강철멘탈 되는 법,이드페이퍼 저,데이원,1,2025-07-01
5,전자책,129366505,문학,계란 프라이 자판기를 찾아서,설재인 저,시공사,1,2025-07-01
6,전자책,141837644,문학,고요의 힘 : 나를 바꾸는 5분의 기적,틱낫한 저/위소영 역,소수출판사,1,2025-07-01
7,전자책,136374517,인문／사회,"괴물들 : 숭배와 혐오, 우리 모두의 딜레마",클레어 데더러 저/노지양 역,을유문화사,1,2025-07-01
8,전자책,140043260,인문／사회,교양이를 부탁해 : 읽을수록 똑똑해지는 우리 시대의 교양-경제·전쟁·패권 편,"스브스프리미엄,한동훈 저",인플루엔셜,1,2025-07-01
9,전자책,136992426,인문／사회,그거 사전 : 대체로 즐겁고 가끔은 지적이며 때로는 유머러스한 사물들의 이야기,홍성윤 저,인플루엔셜,1,2025-07-01
10,전자책,139569264,문학,그들의 하루,차인표 저,사유와공감,1,2025-07-01
11,전자책,139855064,인문／사회,그림으로 읽는 잠 못들 정도로 재미있는 이야기: 범죄심리학,오치 케이타 저/이영란 역,성안당,1,2025-07-01
12,전자책,140203288,자기관리,금가루 수업 : 역동적인 부의 법칙,캐서린 폰더 저/이윤정 역,노들,1,2025-07-01
13,전자책,139938400,자기관리,기분 리셋,알리 압달 저/김고명 역,위즈덤하우스,2,2025-07-01
14,전자책,139864771,자기관리,김미경의 딥마인드 : 열심히 살아봤지만 허무함에 지친 당신을 위한,김미경 저,어웨이크북스,1,2025-07-01
15,전자책,141787157,인문／사회,나라를 위해서 일한다는 거짓말 : 한국 공직사회는 왜 그토록 무능해졌는가,노한동 저,사이드웨이,2,2025-07-01
16,전자책,136883792,자기관리,나를 소진하지 않는 관계의 말들,강은하 저,테라코타,1,2025-07-01
17,전자책,133880894,자기관리,나를 위한 용기 : 부족해서 아름다운 나에게,지나영 저,특별한서재,1,2025-07-01
18,전자책,136264014,자기관리,"내 인생은 어떤 얼굴을 하고 있는가 : 인생, 마음, 가치관을 읽는 관상 수업",길해 저,온더페이지,1,2025-07-01
19,전자책,128711544,자기관리,내 일의 필로소피 : 계속 잘나가는 사람의 비밀,최형렬 저,쌤앤파커스,1,2025-07-01
20,전자책,138332997,자기관리,너를 미워할 시간에 나를 사랑하기로 했다 : 관계에 휘둘리지 않고 나를 지키는 방법,윤서진 저,스몰빅라이프,1,2025-07-01
21,전자책,143261949,문학,너의 유토피아,정보라 저,래빗홀,1,2025-07-01
22,전자책,140394841,인문／사회,더 인간적인 건축,토마스 헤더윅 저/한진이 역,알에이치코리아(RHK),2,2025-07-01
23,전자책,134654344,문학,도쿄 호텔 도감,엔도 케이 저/서하나 역,윌북(willbook),1,2025-07-01
24,전자책,139855546,인문／사회,도파민 디톡스 : 쾌락과 고통에 지배당한 뇌를 되돌려라,애나 렘키 저/고빛샘 역,흐름출판,2,2025-07-01
25,전자책,140398253,문학,둔색환시행,온다 리쿠 저/이정민 역,시공사,1,2025-07-01
26,전자책,142333676,인문／사회,디지털 포용,"송민호,김원제 저",한국학술정보,1,2025-07-01
27,전자책,142351489,경제／경영,리더의 질문력 : 어떻게 진짜 일을 시작할 것인가,마이클 번게이 스태니어 저/김잔디 역,리더스북,2,2025-07-01
28,전자책,140128373,경제／경영,리플 빅뱅 : 세상의 모든 돈은 XRP로 통한다,문창훈 저,가디언,1,2025-07-01
29,전자책,139922364,자기관리,모든 시험에 적용되는 33가지 진짜 공부법,연수남 저,다산북스,2,2025-07-01
30,전자책,140199322,자연과과학,무의식은 어떻게 나를 설계하는가 : 나를 살리기도 망치기도 하는 머릿속 독재자,데이비드 이글먼 저/김승욱 역,알에이치코리아(RHK),2,2025-07-01
31,전자책,140240901,문학,미로장의 참극,요코미조 세이시 저/정명원 역,시공사,1,2025-07-01
32,전자책,139784619,예술／대중문화,"반 고흐, 인생의 그림들 : 어둠을 지나 비로소 빛이 된 불멸의 작품 120",김영숙 저,빅피시,1,2025-07-01
33,전자책,140398254,문학,밤이 끝나는 곳,온다 리쿠 저/이정민 역,시공사,1,2025-07-01
34,전자책,143258755,경제／경영,부의 공식,스콧 갤러웨이 저/김현정 역,위즈덤하우스,2,2025-07-01
35,전자책,141774869,자기관리,부자들의 서재 : 전 세계 상위 1% 부자들의 인사이트 30,리치파카(강연주) 저,오아시스,1,2025-07-01
36,전자책,137111477,문학,사단법인 한국괴물관리협회,배예람 저,안전가옥,1,2025-07-01
37,전자책,140826067,문학,사랑에 답함 : 나태주의 인.생.사.색 산문집,나태주 저,위더북,1,2025-07-01
38,전자책,141181310,인문／사회,사소한 불행에 인생을 내어주지 마라 : 흔들리지 않는 1년을 만드는 52주 스토아 철학,요한 크라우네스 저/이상희 역,추수밭,1,2025-07-01
39,전자책,140898506,인문／사회,사주가 MBTI를 만나면,일일 저,세이코리아,1,2025-07-01
40,전자책,140376517,인문／사회,살아 있는 자들을 위한 죽음 수업,이호 저,웅진지식하우스,2,2025-07-01
41,전자책,144055246,문학,삶이라는 완벽한 농담 : 이경규 에세이,이경규 저,쌤앤파커스,1,2025-07-01
42,전자책,129951337,인문／사회,상처받지 않을 권리 다시 쓰기 : 자본주의를 가로지르는 인문학 로드맵,강신주 저,오월의봄,1,2025-07-01
43,전자책,139892542,자기관리,생각을 넓혀주는 독서법,"모티머 J. 애들러,찰스 밴 도렌 저/독고 앤 역",시간과공간사,1,2025-07-01
44,전자책,124476559,경제／경영,소비자행동,"이학식,안광호,하영원,석관호 공저",집현재,1,2025-07-01
